Frequency,Amplitude,Phase
1217.382727739662, -35.202576, -172.34552
1289.8902612533093, -36.213688, -172.83667
1366.7163564620073, -37.239059, -173.344009
1448.1182276745344, -38.262268, -173.777161
1534.3684089300132, -39.276848, -174.32872
1625.755666443795, -40.333679, -174.763687
1722.5859653987875, -41.332237, -175.163391
1825.1834943190443, -42.383762, -175.718307
1933.891750455232, -43.395084, -176.234207
2049.074689815848, -44.410137, -176.695923
2171.117945694505, -45.45731, -177.212646
2300.430119772919, -46.505695, -177.749741
2437.444150122222, -47.473358, -178.374832
2582.6187606826775, -48.552719, -179.389114
2736.4399970746717, -49.573597, 179.974167
2899.4228538828784, -50.625896, 179.132095
3072.112998861759, -51.726513, 178.40036
3255.08859983506, -52.700203, 177.022736
3448.96226040576, -53.709328, 175.297272
3654.383070957258, -54.824181, 173.413452
3872.0387818125573, -56.12505, 172.3853
4102.658105827195, -57.221836, 170.374924
4347.013158125026, -58.536453, 167.302002
4605.922041145108, -59.668839, 164.789597
4880.2515836544335, -60.527462, 160.169464
5170.920242896761, -61.782104, 154.947754
5478.901179593945, -63.443924, 153.932526
5805.225516094902, -64.037025, 143.225494
6150.985788580504, -65.520111, 139.021332
6517.339604882427, -66.38501, 133.148682
6905.513520162331, -67.037521, 123.009865
7316.8071434272, -67.152084, 114.56459
7752.597488629464, -67.083244, 103.972351
8214.34358491943, -67.288422, 97.382812
8703.591361485165, -67.059036, 91.895561
9221.978823334332, -66.813637, 82.688507
9771.241535346502, -66.595764, 77.797348
10353.218432956615, -65.671432, 71.729568
10969.857978923841, -65.632805, 69.50103
11623.224686798541, -64.835098, 65.58226
12315.506032928262, -64.991203, 65.345993
13049.019780144015, -64.098045, 58.812553
13826.221737646563, -63.552635, 57.287136
14649.71398307288, -63.121384, 55.701061
15522.25357427048, -62.862034, 53.026409
16446.761779946628, -62.288952, 52.500839
17426.333860096507, -61.6404, 50.35627
18464.249428955463, -61.370071, 49.288921
19563.98343517065, -61.094624, 49.63905
20729.2177959537, -60.769997, 43.88747
21963.85372416547, -59.960251, 39.980705
23272.024789604122, -59.444397, 37.258793
24658.110758226037, -59.453911, 39.115372
26126.752255633266, -59.025063, 37.351166
27682.866303920666, -58.687683, 36.462574
29331.662783900483, -58.522301, 30.935583
31078.66187782014, -58.208279, 33.591934
32929.71255097148, -58.051186, 27.998425
34891.012134067736, -58.131302, 27.589621
36969.12707195032, -57.867504, 25.413877
39171.014908092606, -57.728683, 24.192331
41504.047578504724, -57.590977, 22.936787
43976.036093027215, -57.026054, 19.231647
46595.25668664687, -56.994205, 22.895962
49370.478528390035, -57.071198, 20.335318
52310.993080562585, -56.40263, 19.575958
55426.645206631074, -56.242241, 18.370668
58727.86613189489, -55.959496, 15.492833
62225.708367302315, -56.022854, 15.447893
65931.88271333542, -55.978348, 12.635714
69858.79746785249, -56.010284, 11.719296
74019.59996915652, -55.715466, 10.518533
78428.22061337682, -55.50375, 8.85407
83099.41949353387, -55.430939, 7.32228
88048.83581643464, -55.1992, 4.953185
93293.04026284696, -55.147522, 3.741004
98849.59046625586, -54.901421, 0.877106
104737.08979594508, -54.838749, -1.479608
110975.2496412072, -54.709084, -2.930267
117584.95540521582, -54.440422, -4.798335
124588.33642950082, -54.330833, -6.563744
132008.84008314196, -54.053169, -8.665771
139871.31026472387, -53.77021, -11.195868
148202.070579886, -53.586647, -14.223323
157029.01247293776, -53.200718, -18.443789
166381.6886076131, -52.893356, -23.621431
176291.4118095948, -52.723881, -34.817577
186791.35990207846, -53.814373, -56.798424
197916.68678535573, -61.580692, -87.031906
209704.6401323235, -66.800095, 36.359241
222194.6860939524, -57.716415, 19.488346
235428.64143224203, -55.430676, 9.062746
249450.81352303165, -54.005257, 3.09077
264308.1486974108, -52.7729, -2.853465
280050.3894183631, -51.663166, -9.20551
296730.24081888725, -50.892372, -14.953961
314403.54715915, -50.201744, -20.734316
333129.4787934677, -49.545837, -25.250185
352970.73027306504, -48.8867, -30.767298
373993.73024788016, -48.270157, -35.215485
396268.86387014785, -47.689247, -39.752171
419870.70844439144, -47.009815, -44.823326
444878.28311275854, -46.404907, -49.573292
471375.3134116729, -45.780121, -54.503757
499450.511585514, -45.139526, -59.729595
529197.8735958447, -44.468872, -65.110344
560716.9938205458, -43.78463, -70.151222
594113.3984965039, -43.124443, -75.84288
629498.8990221887, -42.442368, -81.305519
666991.9663030129, -41.74617, -87.080849
706718.1273927492, -41.04282, -93.013641
748810.385759003, -40.360851, -99.036835
793409.6665797492, -39.651672, -105.288422
840665.2885618333, -38.945496, -111.300186
890735.463861044, -38.231468, -117.767754
943787.8277775391, -37.497444, -123.816383
1000000, -36.732933, -130.377258
