Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.078675, -0.032184
10.59560179277616, -0.078685, -0.033068
11.226677735108137, -0.079062, -0.032237
11.895340673703195, -0.078649, -0.036371
12.603829296797274, -0.078596, -0.038806
13.354515629298987, -0.078447, -0.048166
14.149912974345758, -0.078392, -0.053439
14.992684327860456, -0.078195, -0.053931
15.885651294280526, -0.078127, -0.050933
16.831803533309568, -0.077516, -0.063186
17.834308769319094, -0.07766, -0.061738
18.896523396912098, -0.077468, -0.065153
20.022003718155844, -0.07748, -0.073766
21.2145178491063, -0.079114, -0.080309
22.47805833548725, -0.077468, -0.083731
23.81685551976158, -0.0766, -0.091695
25.23539170434766, -0.076851, -0.097405
26.738416158399467, -0.076498, -0.104215
28.330961018393243, -0.077004, -0.108901
30.01835813575589, -0.076315, -0.117916
31.80625692794119, -0.07575, -0.126092
33.700643292719285, -0.075526, -0.134842
35.707859649004625, -0.075911, -0.143666
37.83462617131929, -0.075555, -0.152668
40.08806328898464, -0.076545, -0.15133
42.47571552536898, -0.07544, -0.172257
45.005576757004974, -0.075569, -0.182448
47.68611697714469, -0.075441, -0.192092
50.526310653356795, -0.075178, -0.201545
53.53566677410724, -0.074307, -0.199523
56.72426068491978, -0.074519, -0.222063
60.10276782070382, -0.072414, -0.223743
63.68249944718586, -0.072973, -0.245327
67.47544053110693, -0.070188, -0.251925
71.49428986597577, -0.071087, -0.269212
75.75250258771912, -0.070178, -0.278952
80.26433522257175, -0.068918, -0.292974
85.04489341802677, -0.06685, -0.303639
90.11018251665018, -0.065344, -0.319728
95.47716114208056, -0.061559, -0.350309
101.1637979766207, -0.059055, -0.358593
107.18913192051286, -0.055805, -0.394932
113.57333583431051, -0.050596, -0.411587
120.33778407775905, -0.047268, -0.446865
127.50512407130128, -0.041132, -0.480114
135.09935211980277, -0.037788, -0.505284
143.14589375234786, -0.032188, -0.546374
151.6716888470924, -0.025684, -0.590388
160.70528182616385, -0.016963, -0.611247
170.27691722259013, -0.011039, -0.66009
180.41864093920717, -0.003178, -0.708065
191.16440753857037, 0.004679, -0.737596
202.55019392306664, 0.017187, -0.779874
214.6141197858406, 0.032143, -0.830619
227.39657523579274, 0.03871, -0.912664
240.9403560239527, 0.044019, -0.942757
255.29080682395167, 0.061125, -0.990992
270.4959730463137, 0.078047, -1.049329
286.606761694825, 0.101184, -1.105654
303.67711180354604, 0.126384, -1.198766
321.76417502507354, 0.131898, -1.316054
340.92850697468145, 0.147246, -1.364836
361.23426997094305, 0.17597, -1.444489
382.7494478516315, 0.209077, -1.522517
405.54607358408276, 0.244132, -1.634112
429.7004704320844, 0.28295, -1.741889
455.29350748669475, 0.32563, -1.869232
482.41087041653736, 0.372668, -2.012196
511.14334834401654, 0.421353, -2.202763
541.5871378079476, 0.433181, -2.404513
573.8441648302393, 0.47743, -2.519616
608.0224261649427, 0.541159, -2.695179
644.236350872137, 0.607155, -2.90156
682.6071834272393, 0.674788, -3.153169
723.2633896483534, 0.745183, -3.430285
766.3410868007462, 0.820998, -3.76954
811.9844993184009, 0.900462, -4.145303
860.3464416684509, 0.984073, -4.593869
911.5888299750818, 1.064806, -5.116385
965.8832241158708, 1.155344, -5.777582
1023.4114021054538, 1.240961, -6.569003
1084.3659686896108, 1.330917, -7.609125
1148.9510001873098, 1.421317, -8.994457
1217.382727739662, 1.498671, -10.902799
1289.8902612533093, 1.580438, -13.845616
1366.7163564620073, 1.646697, -18.695269
1448.1182276745344, 1.703523, -28.225313
1534.3684089300132, 1.722692, -121.54113
1625.755666443795, 1.717506, -136.217545
1722.5859653987875, 1.699926, -144.779205
1825.1834943190443, 1.610786, -157.715744
1933.891750455232, 1.439615, -164.136597
2049.074689815848, 1.127978, -167.788895
2171.117945694505, 0.579475, -170.090012
2300.430119772919, -0.619488, -171.730484
2437.444150122222, -2.474143, -172.898575
