Frequency [Hz], Amplitude [dB], Phase [deg]
608.0224261649427, -15.437918, 176.909317
644.236350872137, -14.253945, 176.693146
682.6071834272393, -13.038673, 176.450699
723.2633896483534, -11.794287, 176.154449
766.3410868007462, -10.515519, 175.828278
811.9844993184009, -9.183493, 175.438828
860.3464416684509, -7.806797, 174.994202
911.5888299750818, -6.353768, 174.452087
965.8832241158708, -4.820253, 173.798126
1023.4114021054538, -3.179355, 172.9944
1084.3659686896108, -1.398971, 171.946671
1148.9510001873098, 0.218636, 170.537979
1217.382727739662, 0.930401, 168.611725
1289.8902612533093, 1.325782, 165.683029
1366.7163564620073, 1.549428, 160.852432
1448.1182276745344, 1.679005, 151.324539
1534.3684089300132, 1.736934, 57.149361
1625.755666443795, 1.729035, 43.24979
1722.5859653987875, 1.722365, 34.694664
1825.1834943190443, 1.676665, 21.73414
1933.891750455232, 1.618917, 15.30922
2049.074689815848, 1.544953, 11.666491
2171.117945694505, 1.465486, 9.350952
2300.430119772919, 1.380409, 7.708159
2437.444150122222, 1.295727, 6.523855
2582.6187606826775, 1.207772, 5.608145
2736.4399970746717, 1.123815, 4.871316
2899.4228538828784, 1.041171, 4.266669
3072.112998861759, 0.961193, 3.757601
3255.08859983506, 0.88356, 3.324656
3448.96226040576, 0.811864, 2.949303
3654.383070957258, 0.742075, 2.613422
3872.0387818125573, 0.676916, 2.31762
4102.658105827195, 0.616345, 2.051721
4347.013158125026, 0.559926, 1.808211
4605.922041145108, 0.506921, 1.580595
4880.2515836544335, 0.458443, 1.37308
5170.920242896761, 0.41277, 1.174861
5478.901179593945, 0.372433, 0.983394
5805.225516094902, 0.333163, 0.809664
6150.985788580504, 0.298255, 0.641068
6517.339604882427, 0.266989, 0.469552
6905.513520162331, 0.236412, 0.322522
7316.8071434272, 0.209921, 0.167456
7752.597488629464, 0.183917, 0.017192
8214.34358491943, 0.161272, -0.135921
8703.591361485165, 0.142334, -0.270045
9221.978823334332, 0.123851, -0.415361
9771.241535346502, 0.106244, -0.557302
10353.218432956615, 0.09127, -0.699125
10969.857978923841, 0.077269, -0.842196
11623.224686798541, 0.064208, -0.985569
12315.506032928262, 0.050795, -1.121831
13049.019780144015, 0.041984, -1.275353
13826.221737646563, 0.031087, -1.426198
14649.71398307288, 0.023248, -1.577705
15522.25357427048, 0.014701, -1.72884
16446.761779946628, 0.007465, -1.891184
17426.333860096507, 0.000294, -2.052103
18464.249428955463, -0.006174, -2.213953
19563.98343517065, -0.012477, -2.387718
20729.2177959537, -0.017941, -2.566368
21963.85372416547, -0.023188, -2.746081
23272.024789604122, -0.027697, -2.941435
24658.110758226037, -0.032696, -3.138067
26126.752255633266, -0.036737, -3.343122
27682.866303920666, -0.039829, -3.567626
29331.662783900483, -0.043806, -3.798378
31078.66187782014, -0.046961, -4.03337
32929.71255097148, -0.050007, -4.284441
