Frequency,Amplitude,Phase
10, -0.017531, 179.945251
10.59560179277616, -0.017454, 179.943069
11.226677735108137, -0.016555, 179.939301
11.895340673703195, -0.017379, 179.938446
12.603829296797274, -0.017341, 179.935852
13.354515629298987, -0.018326, 179.938858
14.149912974345758, -0.018604, 179.938477
14.992684327860456, -0.018455, 179.93335
15.885651294280526, -0.017658, 179.92569
16.831803533309568, -0.018678, 179.930695
17.834308769319094, -0.018313, 179.922638
18.896523396912098, -0.018312, 179.91864
20.022003718155844, -0.018712, 179.918472
21.2145178491063, -0.018665, 179.913239
22.47805833548725, -0.018893, 179.911987
23.81685551976158, -0.015705, 179.911575
25.23539170434766, -0.015798, 179.906433
26.738416158399467, -0.015724, 179.901566
28.330961018393243, -0.016133, 179.894165
30.01835813575589, -0.015802, 179.888992
31.80625692794119, -0.015832, 179.882263
33.700643292719285, -0.015812, 179.874954
35.707859649004625, -0.015816, 179.868698
37.83462617131929, -0.015796, 179.861526
40.08806328898464, -0.015553, 179.850861
42.47571552536898, -0.015632, 179.84462
45.005576757004974, -0.015505, 179.835129
47.68611697714469, -0.015445, 179.826721
50.526310653356795, -0.015689, 179.815262
53.53566677410724, -0.015334, 179.800781
56.72426068491978, -0.015253, 179.791779
60.10276782070382, -0.015544, 179.776703
63.68249944718586, -0.015087, 179.764328
67.47544053110693, -0.015558, 179.748581
71.49428986597577, -0.014843, 179.7332
75.75250258771912, -0.014859, 179.716873
80.26433522257175, -0.015013, 179.699326
85.04489341802677, -0.014987, 179.679337
90.11018251665018, -0.015179, 179.660477
95.47716114208056, -0.015492, 179.64386
101.1637979766207, -0.015689, 179.617538
107.18913192051286, -0.015429, 179.598831
113.57333583431051, -0.016243, 179.572937
120.33778407775905, -0.01644, 179.549149
127.50512407130128, -0.016555, 179.525177
135.09935211980277, -0.015926, 179.493973
143.14589375234786, -0.016097, 179.463684
151.6716888470924, -0.015778, 179.436966
160.70528182616385, -0.015916, 179.395981
170.27691722259013, -0.015422, 179.359665
180.41864093920717, -0.016633, 179.321701
191.16440753857037, -0.016375, 179.280777
202.55019392306664, -0.016124, 179.236298
214.6141197858406, -0.017375, 179.185822
227.39657523579274, -0.018049, 179.140564
240.9403560239527, -0.016791, 179.085526
255.29080682395167, -0.015912, 179.033295
270.4959730463137, -0.015539, 178.965073
286.606761694825, -0.016479, 178.894455
303.67711180354604, -0.018154, 178.826447
321.76417502507354, -0.018441, 178.755661
340.92850697468145, -0.017764, 178.675629
361.23426997094305, -0.017766, 178.58757
382.7494478516315, -0.01806, 178.495789
405.54607358408276, -0.018177, 178.392807
429.7004704320844, -0.018878, 178.283493
455.29350748669475, -0.019028, 178.164017
482.41087041653736, -0.01999, 178.034729
511.14334834401654, -0.020912, 177.888748
541.5871378079476, -0.022105, 177.736389
573.8441648302393, -0.022559, 177.562027
608.0224261649427, -0.022595, 177.368698
644.236350872137, -0.023621, 177.160492
682.6071834272393, -0.025648, 176.915085
723.2633896483534, -0.027633, 176.638184
766.3410868007462, -0.02985, 176.321793
811.9844993184009, -0.033249, 175.957031
860.3464416684509, -0.0365, 175.530365
911.5888299750818, -0.041413, 175.018417
965.8832241158708, -0.0498, 174.39505
1023.4114021054538, -0.060427, 173.622559
1084.3659686896108, -0.075642, 172.627838
1148.9510001873098, -0.101741, 171.280731
1217.382727739662, -0.147464, 169.411209
1289.8902612533093, -0.238442, 166.575623
1366.7163564620073, -0.474522, 161.804306
1448.1182276745344, -1.174475, 152.305557
1534.3684089300132, -4.899662, -138.619812
1625.755666443795, -2.666265, -140.634705
1722.5859653987875, -1.571159, -148.553757
1825.1834943190443, -0.576934, -160.206558
1933.891750455232, -0.275417, -165.827332
2049.074689815848, -0.160016, -169.062485
2171.117945694505, -0.109049, -171.149536
2300.430119772919, -0.079078, -172.6185
2437.444150122222, -0.061089, -173.689758
2582.6187606826775, -0.049812, -174.525192
2736.4399970746717, -0.042577, -175.196609
2899.4228538828784, -0.037619, -175.748856
3072.112998861759, -0.033183, -176.199753
3255.08859983506, -0.031138, -176.594727
3448.96226040576, -0.028864, -176.934692
3654.383070957258, -0.026906, -177.232376
3872.0387818125573, -0.025645, -177.5009
4102.658105827195, -0.02483, -177.735855
4347.013158125026, -0.023978, -177.950882
4605.922041145108, -0.023671, -178.151215
4880.2515836544335, -0.023735, -178.329926
5170.920242896761, -0.023634, -178.496933
5478.901179593945, -0.023161, -178.654068
5805.225516094902, -0.024065, -178.802521
6150.985788580504, -0.02326, -178.934509
6517.339604882427, -0.02584, -179.077438
6905.513520162331, -0.025057, -179.198257
7316.8071434272, -0.025871, -179.316513
7752.597488629464, -0.02667, -179.429962
8214.34358491943, -0.027477, -179.54184
8703.591361485165, -0.028751, -179.648346
9221.978823334332, -0.029966, -179.752045
9771.241535346502, -0.030906, -179.850449
10353.218432956615, -0.032559, -179.951584
10969.857978923841, -0.033998, 179.954391
11623.224686798541, -0.035581, 179.860504
12315.506032928262, -0.037223, 179.769257
13049.019780144015, -0.039109, 179.672852
13826.221737646563, -0.04089, 179.582962
14649.71398307288, -0.043115, 179.492874
15522.25357427048, -0.044966, 179.401031
16446.761779946628, -0.047385, 179.316071
17426.333860096507, -0.049527, 179.219879
18464.249428955463, -0.051762, 179.130447
19563.98343517065, -0.053877, 179.038498
20729.2177959537, -0.056325, 178.955109
21963.85372416547, -0.058614, 178.852951
23272.024789604122, -0.061517, 178.761185
24658.110758226037, -0.063255, 178.667709
26126.752255633266, -0.065738, 178.57019
27682.866303920666, -0.068438, 178.462372
29331.662783900483, -0.070252, 178.360458
31078.66187782014, -0.072184, 178.25119
32929.71255097148, -0.074093, 178.141479
34891.012134067736, -0.075894, 178.019363
36969.12707195032, -0.07829, 177.904938
39171.014908092606, -0.080091, 177.769943
41504.047578504724, -0.081286, 177.63327
43976.036093027215, -0.083262, 177.48407
46595.25668664687, -0.085718, 177.339508
49370.478528390035, -0.085907, 177.188644
52310.993080562585, -0.089507, 177.015869
55426.645206631074, -0.089873, 176.842331
58727.86613189489, -0.09157, 176.655701
62225.708367302315, -0.092735, 176.459839
65931.88271333542, -0.093804, 176.250504
69858.79746785249, -0.094968, 176.035858
74019.59996915652, -0.095039, 175.796936
78428.22061337682, -0.096213, 175.553345
83099.41949353387, -0.097035, 175.291687
88048.83581643464, -0.096887, 175.014114
93293.04026284696, -0.09723, 174.719086
98849.59046625586, -0.097435, 174.413666
104737.08979594508, -0.097841, 174.087326
110975.2496412072, -0.097216, 173.733612
117584.95540521582, -0.097024, 173.36731
124588.33642950082, -0.096492, 172.967072
132008.84008314196, -0.096648, 172.551254
139871.31026472387, -0.096623, 172.104767
148202.070579886, -0.09609, 171.638321
157029.01247293776, -0.095619, 171.145615
166381.6886076131, -0.095426, 170.621277
176291.4118095948, -0.093336, 170.065094
186791.35990207846, -0.092681, 169.471985
197916.68678535573, -0.091173, 168.8452
209704.6401323235, -0.088986, 168.177551
222194.6860939524, -0.088385, 167.516479
235428.64143224203, -0.079936, 166.800552
249450.81352303165, -0.076615, 165.982162
264308.1486974108, -0.075106, 165.105087
280050.3894183631, -0.074746, 164.204025
296730.24081888725, -0.073311, 163.242828
314403.54715915, -0.070477, 162.234009
333129.4787934677, -0.067249, 161.157761
352970.73027306504, -0.063368, 160.021194
373993.73024788016, -0.06086, 158.804504
396268.86387014785, -0.055932, 157.507645
419870.70844439144, -0.051274, 156.138962
444878.28311275854, -0.046049, 154.687363
471375.3134116729, -0.042921, 153.124023
499450.511585514, -0.032644, 151.474533
529197.8735958447, -0.025997, 149.697769
560716.9938205458, -0.018625, 147.830566
594113.3984965039, -0.009403, 145.773361
629498.8990221887, -0.001174, 143.624054
666991.9663030129, 0.003083, 141.314804
706718.1273927492, 0.01336, 138.80925
748810.385759003, 0.021995, 136.098267
793409.6665797492, 0.030412, 133.208893
840665.2885618333, 0.036769, 130.145782
890735.463861044, 0.041253, 126.744316
943787.8277775391, 0.047747, 123.102127
