Frequency,Amplitude,Phase
110975.2496412072, -33.18959, 65.205467
117584.95540521582, -33.372475, 63.841499
124588.33642950082, -33.515602, 62.48175
132008.84008314196, -33.63702, 60.998535
139871.31026472387, -33.756405, 59.340431
148202.070579886, -33.832554, 57.662167
157029.01247293776, -33.91235, 55.903637
166381.6886076131, -34.005222, 53.991272
176291.4118095948, -34.162018, 52.07906
186791.35990207846, -34.479374, 51.669525
197916.68678535573, -34.331173, 54.223301
209704.6401323235, -33.758732, 53.064182
222194.6860939524, -33.422649, 49.735558
235428.64143224203, -33.261505, 46.720901
249450.81352303165, -33.054745, 43.776382
264308.1486974108, -32.864201, 40.790451
280050.3894183631, -32.68755, 37.542858
296730.24081888725, -32.504955, 34.313385
314403.54715915, -32.318787, 31.142166
333129.4787934677, -32.128754, 27.784704
352970.73027306504, -31.915707, 24.30835
373993.73024788016, -31.712364, 20.672113
396268.86387014785, -31.504686, 16.884447
419870.70844439144, -31.291487, 12.860604
444878.28311275854, -31.093157, 8.69733
471375.3134116729, -30.897837, 4.236247
499450.511585514, -30.706635, -0.430001
529197.8735958447, -30.529575, -5.290204
560716.9938205458, -30.370024, -10.450162
594113.3984965039, -30.217115, -15.824701
629498.8990221887, -30.096172, -21.426373
666991.9663030129, -29.99157, -27.367441
706718.1273927492, -29.921497, -33.583675
748810.385759003, -29.873425, -40.121246
793409.6665797492, -29.85685, -47.108418
840665.2885618333, -29.863846, -54.283546
890735.463861044, -29.90489, -61.777039
943787.8277775391, -29.988127, -69.772308
1000000, -30.079132, -78.053017
