Frequency [Hz], Amplitude [dB], Phase [deg]
214.6141197858406, -0.064174, -15.450502
227.39657523579274, -0.063154, -16.3757
240.9403560239527, -0.058224, -17.346045
255.29080682395167, -0.050955, -18.401144
270.4959730463137, -0.048065, -19.521446
286.606761694825, -0.046658, -20.696882
303.67711180354604, -0.038806, -21.954062
321.76417502507354, -0.034541, -23.306416
340.92850697468145, -0.026784, -24.712799
361.23426997094305, -0.015763, -26.24255
382.7494478516315, -0.012548, -27.853552
405.54607358408276, 0.00147, -29.591181
429.7004704320844, 0.005503, -31.439259
455.29350748669475, 0.02451, -33.400799
482.41087041653736, 0.031684, -35.526012
511.14334834401654, 0.051049, -37.817707
541.5871378079476, 0.06035, -40.21423
573.8441648302393, 0.076656, -42.897137
608.0224261649427, 0.102281, -45.731121
644.236350872137, 0.112789, -48.735222
682.6071834272393, 0.127634, -52.086857
723.2633896483534, 0.147445, -55.74511
766.3410868007462, 0.165764, -59.69976
811.9844993184009, 0.182574, -63.951294
860.3464416684509, 0.184942, -68.620903
911.5888299750818, 0.188096, -73.811485
965.8832241158708, 0.170426, -79.539864
1023.4114021054538, 0.135004, -85.815231
1084.3659686896108, 0.067407, -92.628799
1148.9510001873098, -0.037996, -100.023216
1217.382727739662, -0.248873, -108.057404
1289.8902612533093, -0.665491, -115.969345
1366.7163564620073, -1.21316, -124.730522
1448.1182276745344, -1.908809, -133.678528
1534.3684089300132, -2.769528, -142.418976
1625.755666443795, -3.751903, -150.704025
1722.5859653987875, -4.86346, -158.762741
1825.1834943190443, -6.065293, -166.210327
1933.891750455232, -7.348056, -173.188156
2049.074689815848, -8.687656, -179.617828
2171.117945694505, -10.072382, 174.469086
2300.430119772919, -11.48313, 169.079483
2437.444150122222, -12.911425, 164.102814
2582.6187606826775, -14.352882, 159.524857
2736.4399970746717, -15.799561, 155.308701
2899.4228538828784, -17.250847, 151.377609
3072.112998861759, -18.716299, 147.665741
3255.08859983506, -20.189884, 144.224274
3448.96226040576, -21.67222, 141.016983
3654.383070957258, -23.160862, 137.940033
3872.0387818125573, -24.653881, 135.084473
4102.658105827195, -26.147707, 132.367523
4347.013158125026, -27.616501, 129.766724
4605.922041145108, -29.113302, 127.294273
4880.2515836544335, -30.647221, 124.989937
5170.920242896761, -32.135674, 122.774956
5478.901179593945, -33.629372, 120.463364
5805.225516094902, -35.189026, 118.592628
6150.985788580504, -36.612862, 116.302467
6517.339604882427, -38.084892, 113.83709
6905.513520162331, -39.626343, 111.847809
7316.8071434272, -41.285751, 110.507187
7752.597488629464, -42.698753, 108.638786
8214.34358491943, -44.299755, 106.275833
8703.591361485165, -45.657314, 104.294624
9221.978823334332, -47.346848, 102.415138
9771.241535346502, -48.63876, 100.247032
10353.218432956615, -50.104225, 97.252731
10969.857978923841, -51.525475, 96.248779
11623.224686798541, -53.457748, 94.385902
12315.506032928262, -54.950226, 93.825424
13049.019780144015, -56.235199, 94.528412
13826.221737646563, -56.67363, 94.962006
14649.71398307288, -56.988693, 94.354546
15522.25357427048, -57.153225, 94.626358
16446.761779946628, -57.143448, 88.225166
17426.333860096507, -56.966759, 84.079865
18464.249428955463, -57.180832, 79.127113
19563.98343517065, -57.283417, 75.025436
20729.2177959537, -57.330215, 70.161263
21963.85372416547, -57.662018, 67.836563
23272.024789604122, -57.638607, 61.368336
24658.110758226037, -57.540215, 58.254868
26126.752255633266, -57.343502, 52.894367
27682.866303920666, -56.968937, 49.412014
29331.662783900483, -57.080769, 46.193497
31078.66187782014, -57.134933, 42.581799
32929.71255097148, -56.967716, 39.945972
34891.012134067736, -56.839394, 37.511326
36969.12707195032, -56.771397, 35.332691
39171.014908092606, -56.770958, 32.087799
41504.047578504724, -56.799362, 29.927868
43976.036093027215, -56.432838, 27.380775
46595.25668664687, -56.276985, 28.046272
49370.478528390035, -56.331692, 24.680479
52310.993080562585, -56.144012, 22.750732
55426.645206631074, -56.305206, 19.462791
58727.86613189489, -56.086197, 18.600443
62225.708367302315, -56.134563, 17.401041
65931.88271333542, -56.359196, 15.101377
69858.79746785249, -56.10651, 12.84751
74019.59996915652, -55.9272, 12.217425
78428.22061337682, -55.853958, 10.387119
83099.41949353387, -55.828415, 9.50608
88048.83581643464, -56.247028, 7.564612
93293.04026284696, -56.082764, 6.227493
98849.59046625586, -56.294853, 4.455319
104737.08979594508, -56.470276, 1.909256
110975.2496412072, -57.041607, 1.132165
117584.95540521582, -56.651443, -1.963434
124588.33642950082, -56.599892, -2.650783
132008.84008314196, -56.032635, -4.239201
139871.31026472387, -56.196388, -5.668295
148202.070579886, -56.153313, -7.988729
157029.01247293776, -55.915531, -10.956925
166381.6886076131, -56.090313, -14.641979
176291.4118095948, -56.571953, -19.030273
186791.35990207846, -56.203609, -28.903107
197916.68678535573, -57.948616, -53.245766
209704.6401323235, -61.642799, -112.25531
222194.6860939524, -62.362572, 135.57486
235428.64143224203, -58.965981, 88.833397
249450.81352303165, -57.2575, 63.907013
264308.1486974108, -56.083191, 46.532104
280050.3894183631, -55.851814, 37.480354
296730.24081888725, -55.902081, 30.822683
314403.54715915, -55.773766, 25.312378
333129.4787934677, -55.422279, 21.186478
352970.73027306504, -55.202446, 18.49666
373993.73024788016, -55.023251, 15.89023
396268.86387014785, -55.143818, 14.805077
419870.70844439144, -54.986874, 14.255342
444878.28311275854, -54.621929, 13.127767
471375.3134116729, -54.68338, 12.095749
499450.511585514, -54.919437, 11.272626
529197.8735958447, -54.721825, 10.729353
560716.9938205458, -54.231762, 10.254547
594113.3984965039, -54.204453, 9.738258
629498.8990221887, -54.013184, 8.560488
666991.9663030129, -53.96793, 7.273924
706718.1273927492, -53.724155, 7.346125
748810.385759003, -53.457333, 6.482628
793409.6665797492, -53.099052, 5.285405
840665.2885618333, -52.810402, 4.755269
890735.463861044, -52.466087, 2.017271
943787.8277775391, -51.954277, 1.382328
1000000, -51.229591, -2.213924
