Frequency [Hz], Amplitude [dB], Phase [deg]
62225.708367302315, -0.145299, 175.522827
65931.88271333542, -0.145464, 175.255569
69858.79746785249, -0.147523, 174.973679
74019.59996915652, -0.147086, 174.675339
78428.22061337682, -0.149079, 174.363098
83099.41949353387, -0.1498, 174.028732
88048.83581643464, -0.150647, 173.672424
93293.04026284696, -0.15183, 173.290176
98849.59046625586, -0.153622, 172.893967
104737.08979594508, -0.155723, 172.467743
110975.2496412072, -0.156527, 172.024857
117584.95540521582, -0.158935, 171.548233
124588.33642950082, -0.160168, 171.034058
132008.84008314196, -0.162849, 170.498398
139871.31026472387, -0.166445, 169.936096
148202.070579886, -0.16786, 169.334015
157029.01247293776, -0.169725, 168.701233
166381.6886076131, -0.172933, 168.020767
176291.4118095948, -0.171484, 167.297104
186791.35990207846, -0.170944, 166.543411
197916.68678535573, -0.178292, 165.754562
209704.6401323235, -0.18826, 164.973846
222194.6860939524, -0.189248, 164.150192
235428.64143224203, -0.195599, 163.169556
249450.81352303165, -0.206475, 162.114014
264308.1486974108, -0.219766, 161.001022
280050.3894183631, -0.231321, 159.858597
296730.24081888725, -0.252624, 158.648117
314403.54715915, -0.268737, 157.371811
333129.4787934677, -0.287268, 156.013763
352970.73027306504, -0.312646, 154.580688
373993.73024788016, -0.338404, 153.070847
396268.86387014785, -0.370283, 151.468323
419870.70844439144, -0.40738, 149.770615
444878.28311275854, -0.449925, 147.971985
471375.3134116729, -0.501659, 146.081238
499450.511585514, -0.550319, 144.083862
529197.8735958447, -0.614326, 141.968628
560716.9938205458, -0.688468, 139.741776
594113.3984965039, -0.766248, 137.396759
629498.8990221887, -0.849593, 134.947632
666991.9663030129, -0.947526, 132.355698
706718.1273927492, -1.062201, 129.654434
748810.385759003, -1.178067, 126.812477
793409.6665797492, -1.325719, 123.934944
840665.2885618333, -1.47825, 120.848824
890735.463861044, -1.645982, 117.618492
943787.8277775391, -1.834508, 114.343872
1000000, -2.031938, 110.896835
