Frequency [Hz], Amplitude [dB], Phase [deg]
255.29080682395167, -2.927049, 136.355179
270.4959730463137, -3.495918, 132.688583
286.606761694825, -4.076087, 129.430115
303.67711180354604, -4.654192, 126.499886
321.76417502507354, -5.233299, 123.784683
340.92850697468145, -5.817511, 121.403297
361.23426997094305, -6.385269, 119.201332
382.7494478516315, -6.967802, 117.180038
405.54607358408276, -7.527804, 115.369438
429.7004704320844, -8.098269, 113.624695
455.29350748669475, -8.650847, 112.167931
482.41087041653736, -9.209808, 110.700195
511.14334834401654, -9.745904, 109.411644
541.5871378079476, -10.303967, 108.213486
573.8441648302393, -10.841078, 107.004395
608.0224261649427, -11.364944, 106.033051
644.236350872137, -11.909149, 105.090767
682.6071834272393, -12.442122, 104.137085
723.2633896483534, -12.959994, 103.267014
766.3410868007462, -13.484083, 102.449707
811.9844993184009, -14.005628, 101.73481
860.3464416684509, -14.519827, 101.054016
911.5888299750818, -15.04101, 100.400795
965.8832241158708, -15.556985, 99.754501
1023.4114021054538, -16.077789, 99.247993
1084.3659686896108, -16.588432, 98.742767
1148.9510001873098, -17.086231, 98.238914
1217.382727739662, -17.609444, 97.693199
1289.8902612533093, -18.112167, 97.319214
1366.7163564620073, -18.619358, 96.827148
1448.1182276745344, -19.11484, 96.455055
1534.3684089300132, -19.626558, 96.104889
1625.755666443795, -20.132954, 95.735703
1722.5859653987875, -20.645424, 95.414322
1825.1834943190443, -21.145296, 95.109924
1933.891750455232, -21.639711, 94.759247
2049.074689815848, -22.150352, 94.416046
2171.117945694505, -22.648781, 94.24337
2300.430119772919, -23.150131, 93.929237
2437.444150122222, -23.65131, 93.62719
2582.6187606826775, -24.151766, 93.398209
2736.4399970746717, -24.66485, 93.177704
2899.4228538828784, -25.158581, 92.977219
3072.112998861759, -25.65015, 92.747513
3255.08859983506, -26.133713, 92.578651
3448.96226040576, -26.64426, 92.403694
3654.383070957258, -27.143915, 92.16552
3872.0387818125573, -27.662058, 92.011276
4102.658105827195, -28.148548, 91.73938
4347.013158125026, -28.634392, 91.605118
4605.922041145108, -29.115234, 91.432739
4880.2515836544335, -29.583649, 91.195656
5170.920242896761, -30.102575, 91.064285
5478.901179593945, -30.591042, 90.820572
5805.225516094902, -31.078056, 90.599068
6150.985788580504, -31.576273, 90.52037
6517.339604882427, -32.056892, 90.16349
6905.513520162331, -32.541595, 89.908882
7316.8071434272, -33.022877, 89.891884
7752.597488629464, -33.496704, 89.569382
8214.34358491943, -33.944553, 89.331833
8703.591361485165, -34.420055, 89.031036
9221.978823334332, -34.892506, 88.667793
9771.241535346502, -35.358898, 88.410652
10353.218432956615, -35.89716, 88.464134
10969.857978923841, -36.348507, 88.422852
11623.224686798541, -36.826202, 88.394196
12315.506032928262, -37.275192, 88.500015
13049.019780144015, -37.640842, 88.710251
13826.221737646563, -38.007183, 89.005394
14649.71398307288, -38.372047, 89.235649
15522.25357427048, -38.697311, 88.950752
16446.761779946628, -38.989159, 88.892029
17426.333860096507, -39.246689, 88.029999
18464.249428955463, -39.517723, 87.3405
19563.98343517065, -39.857845, 86.358688
20729.2177959537, -40.238853, 85.57975
21963.85372416547, -40.519554, 84.78009
23272.024789604122, -40.796944, 83.863182
24658.110758226037, -41.063599, 82.944359
26126.752255633266, -41.303207, 82.095024
27682.866303920666, -41.556683, 81.212608
29331.662783900483, -41.798767, 80.643623
31078.66187782014, -42.024723, 79.934189
32929.71255097148, -42.231861, 79.413582
34891.012134067736, -42.428398, 78.412254
36969.12707195032, -42.581844, 77.707321
39171.014908092606, -42.719196, 77.13829
41504.047578504724, -42.877396, 76.505959
43976.036093027215, -42.949673, 75.613419
46595.25668664687, -43.05405, 74.764641
49370.478528390035, -43.070789, 74.037956
52310.993080562585, -43.078087, 73.229355
55426.645206631074, -43.070541, 72.559029
58727.86613189489, -43.050453, 71.670647
62225.708367302315, -42.98473, 71.080666
65931.88271333542, -42.924324, 70.546646
69858.79746785249, -42.815636, 69.801872
74019.59996915652, -42.698906, 69.117531
78428.22061337682, -42.573608, 68.320015
83099.41949353387, -42.360847, 67.995544
88048.83581643464, -42.177258, 67.490776
93293.04026284696, -41.952099, 66.844208
98849.59046625586, -41.710815, 66.44558
104737.08979594508, -41.530033, 65.865555
110975.2496412072, -41.313499, 65.122307
117584.95540521582, -41.033508, 64.648209
124588.33642950082, -40.744648, 63.835892
132008.84008314196, -40.425396, 62.968983
139871.31026472387, -40.087582, 61.992226
148202.070579886, -39.741631, 61.067535
157029.01247293776, -39.470222, 60.074409
166381.6886076131, -39.190285, 59.104866
176291.4118095948, -38.901428, 57.749603
186791.35990207846, -38.667725, 56.489201
197916.68678535573, -38.780731, 58.000587
209704.6401323235, -38.227291, 62.725357
222194.6860939524, -37.167332, 62.049938
235428.64143224203, -36.462132, 59.221245
249450.81352303165, -35.902912, 55.767525
264308.1486974108, -35.521156, 52.712181
280050.3894183631, -35.189205, 49.874989
296730.24081888725, -34.853271, 47.177605
314403.54715915, -34.52319, 44.594128
333129.4787934677, -34.235149, 42.118568
352970.73027306504, -33.92593, 39.407104
373993.73024788016, -33.648239, 36.663036
396268.86387014785, -33.406906, 33.882126
419870.70844439144, -33.155937, 30.816742
444878.28311275854, -32.903946, 27.793009
471375.3134116729, -32.732731, 24.476059
499450.511585514, -32.573376, 20.987656
529197.8735958447, -32.442806, 17.371305
560716.9938205458, -32.352169, 13.580772
594113.3984965039, -32.30761, 9.66343
629498.8990221887, -32.31955, 5.496776
666991.9663030129, -32.398964, 1.154118
706718.1273927492, -32.544788, -3.312328
748810.385759003, -32.765457, -8.100591
793409.6665797492, -33.089546, -12.83732
840665.2885618333, -33.505207, -18.043659
890735.463861044, -34.020885, -23.581038
943787.8277775391, -34.720417, -29.449072
1000000, -35.603542, -35.979382
