Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.087345, 179.96553
10.59560179277616, -0.087414, 179.964523
11.226677735108137, -0.087454, 179.965073
11.895340673703195, -0.087258, 179.960754
12.603829296797274, -0.08711, 179.958649
13.354515629298987, -0.087235, 179.950531
14.149912974345758, -0.087255, 179.945862
14.992684327860456, -0.087144, 179.944855
15.885651294280526, -0.086977, 179.946533
16.831803533309568, -0.086574, 179.937714
17.834308769319094, -0.086978, 179.937302
18.896523396912098, -0.086889, 179.933548
20.022003718155844, -0.086983, 179.926788
21.2145178491063, -0.087799, 179.921387
22.47805833548725, -0.087059, 179.916946
23.81685551976158, -0.086508, 179.910645
25.23539170434766, -0.086707, 179.905365
26.738416158399467, -0.086607, 179.899033
28.330961018393243, -0.08726, 179.893707
30.01835813575589, -0.086815, 179.886002
31.80625692794119, -0.086655, 179.878586
33.700643292719285, -0.086642, 179.870056
35.707859649004625, -0.087763, 179.867401
37.83462617131929, -0.087005, 179.853699
40.08806328898464, -0.087826, 179.849976
42.47571552536898, -0.087378, 179.834885
45.005576757004974, -0.087744, 179.824356
47.68611697714469, -0.087892, 179.813019
50.526310653356795, -0.08816, 179.804306
53.53566677410724, -0.088025, 179.800079
56.72426068491978, -0.088358, 179.782089
60.10276782070382, -0.087843, 179.776611
63.68249944718586, -0.088931, 179.758881
67.47544053110693, -0.088039, 179.748947
71.49428986597577, -0.089409, 179.732162
75.75250258771912, -0.089341, 179.718536
80.26433522257175, -0.089248, 179.704117
85.04489341802677, -0.088919, 179.688812
90.11018251665018, -0.088564, 179.672516
95.47716114208056, -0.087669, 179.644135
101.1637979766207, -0.087353, 179.632004
107.18913192051286, -0.086635, 179.607895
113.57333583431051, -0.086283, 179.580383
120.33778407775905, -0.085842, 179.5513
127.50512407130128, -0.08618, 179.519836
135.09935211980277, -0.087887, 179.493591
143.14589375234786, -0.087907, 179.463577
151.6716888470924, -0.088563, 179.421432
160.70528182616385, -0.087998, 179.397644
170.27691722259013, -0.09011, 179.358521
180.41864093920717, -0.088725, 179.322998
191.16440753857037, -0.088577, 179.282806
202.55019392306664, -0.087684, 179.248901
214.6141197858406, -0.08714, 179.194427
227.39657523579274, -0.088256, 179.134735
240.9403560239527, -0.089608, 179.088547
255.29080682395167, -0.089077, 179.031586
270.4959730463137, -0.091194, 178.97052
286.606761694825, -0.09068, 178.917633
303.67711180354604, -0.089226, 178.845413
321.76417502507354, -0.092429, 178.759735
340.92850697468145, -0.090926, 178.681488
361.23426997094305, -0.092306, 178.587219
382.7494478516315, -0.090605, 178.501221
405.54607358408276, -0.090372, 178.399506
429.7004704320844, -0.091192, 178.289841
455.29350748669475, -0.091412, 178.171555
482.41087041653736, -0.092659, 178.042557
511.14334834401654, -0.092273, 177.901184
