Frequency [Hz], Amplitude [dB], Phase [deg]
303.67711180354604, -17.320257, 153.463638
321.76417502507354, -18.795097, 149.537262
340.92850697468145, -20.283564, 145.939011
361.23426997094305, -21.766436, 142.546265
382.7494478516315, -23.284615, 139.403381
405.54607358408276, -24.780708, 136.45993
429.7004704320844, -26.302753, 133.663193
455.29350748669475, -27.805267, 131.107758
482.41087041653736, -29.317879, 128.647217
511.14334834401654, -30.875153, 126.300102
541.5871378079476, -32.376007, 124.192917
573.8441648302393, -33.897438, 121.96624
608.0224261649427, -35.465191, 120.222763
644.236350872137, -36.970226, 118.31192
682.6071834272393, -38.48122, 116.303711
723.2633896483534, -39.946487, 114.280144
766.3410868007462, -41.666294, 113.30632
811.9844993184009, -43.271976, 111.993538
860.3464416684509, -44.772957, 110.706947
911.5888299750818, -46.389561, 109.409454
965.8832241158708, -47.771255, 107.952194
1023.4114021054538, -49.503281, 106.903519
1084.3659686896108, -51.182251, 105.611824
1148.9510001873098, -52.473541, 104.3274
1217.382727739662, -53.735161, 103.247231
1289.8902612533093, -54.90448, 101.572029
1366.7163564620073, -56.410141, 100.403442
1448.1182276745344, -57.83197, 98.528656
1534.3684089300132, -59.514671, 96.411552
1625.755666443795, -61.122482, 94.201248
1722.5859653987875, -62.443626, 92.10009
1825.1834943190443, -63.380119, 89.989517
1933.891750455232, -64.528984, 87.946571
2049.074689815848, -66.141289, 85.156204
2171.117945694505, -67.025604, 83.641891
2300.430119772919, -67.598167, 79.84539
2437.444150122222, -68.289551, 78.247826
2582.6187606826775, -68.924477, 78.023483
2736.4399970746717, -69.878983, 74.409378
2899.4228538828784, -69.841957, 72.706528
3072.112998861759, -70.238823, 72.1521
3255.08859983506, -69.827354, 68.256516
3448.96226040576, -69.605766, 67.318184
3654.383070957258, -69.496429, 65.058762
3872.0387818125573, -69.277969, 63.039394
4102.658105827195, -69.082832, 61.825245
4347.013158125026, -69.015686, 58.579643
4605.922041145108, -69.036316, 55.52364
4880.2515836544335, -68.663582, 56.607021
5170.920242896761, -68.212898, 54.136429
5478.901179593945, -68.034119, 53.066048
5805.225516094902, -68.373558, 51.731873
6150.985788580504, -67.513092, 50.851784
6517.339604882427, -67.318222, 48.5056
6905.513520162331, -67.599136, 46.550159
7316.8071434272, -67.116684, 45.028393
7752.597488629464, -65.70076, 43.078762
8214.34358491943, -66.351189, 39.761234
8703.591361485165, -66.514748, 37.736931
9221.978823334332, -66.691353, 33.256596
9771.241535346502, -66.569206, 29.378857
10353.218432956615, -66.454025, 27.056257
10969.857978923841, -67.660751, 22.813105
11623.224686798541, -70.413773, 18.07391
12315.506032928262, -71.029137, 25.168394
13049.019780144015, -74.922493, 37.56723
13826.221737646563, -73.327026, 61.57074
14649.71398307288, -69.891258, 67.381943
15522.25357427048, -66.429237, 71.61702
16446.761779946628, -64.870522, 71.241997
17426.333860096507, -62.897499, 68.692162
18464.249428955463, -61.185387, 65.347763
19563.98343517065, -60.614349, 62.118168
20729.2177959537, -59.605125, 60.127758
21963.85372416547, -59.129429, 54.438702
23272.024789604122, -58.607185, 53.400028
24658.110758226037, -58.277737, 49.344112
26126.752255633266, -57.60107, 46.588726
27682.866303920666, -57.407566, 44.344582
29331.662783900483, -57.082352, 41.306736
31078.66187782014, -57.035843, 39.133324
32929.71255097148, -56.751846, 37.66066
34891.012134067736, -56.652317, 35.446873
36969.12707195032, -56.277122, 32.527805
39171.014908092606, -56.057682, 30.995289
41504.047578504724, -56.226227, 27.910189
43976.036093027215, -55.830292, 27.616777
46595.25668664687, -55.898384, 24.178036
49370.478528390035, -55.892483, 22.426151
52310.993080562585, -55.617752, 20.594551
55426.645206631074, -55.559303, 19.219503
58727.86613189489, -55.403347, 17.331577
62225.708367302315, -55.30011, 16.842525
65931.88271333542, -55.550407, 14.924435
69858.79746785249, -55.197487, 13.392297
74019.59996915652, -55.410252, 11.350982
78428.22061337682, -55.39846, 10.030624
83099.41949353387, -55.170898, 7.307981
88048.83581643464, -55.27948, 6.417731
93293.04026284696, -55.045761, 5.045426
98849.59046625586, -55.656273, 2.81483
104737.08979594508, -55.655323, -0.432371
110975.2496412072, -56.330055, -1.040128
117584.95540521582, -56.012825, -0.136324
124588.33642950082, -55.713634, -1.654801
132008.84008314196, -55.342297, -2.603151
139871.31026472387, -55.425018, -5.322691
148202.070579886, -55.303078, -8.294376
157029.01247293776, -55.569084, -11.026644
166381.6886076131, -55.563908, -14.742847
176291.4118095948, -55.391365, -19.724636
186791.35990207846, -55.547928, -32.677856
197916.68678535573, -57.592052, -64.311256
209704.6401323235, -64.962982, -131.059128
222194.6860939524, -63.918056, 126.691345
235428.64143224203, -58.589001, 80.318352
249450.81352303165, -56.738716, 60.043716
264308.1486974108, -55.717422, 44.94281
280050.3894183631, -55.334545, 37.052135
296730.24081888725, -54.925171, 28.892635
314403.54715915, -55.055168, 24.414013
333129.4787934677, -54.736969, 20.305702
352970.73027306504, -54.9813, 18.656645
373993.73024788016, -54.918102, 15.753155
396268.86387014785, -54.907257, 15.465126
419870.70844439144, -54.894176, 13.699652
444878.28311275854, -54.762363, 12.828229
471375.3134116729, -54.572506, 12.203939
499450.511585514, -54.528538, 12.051541
529197.8735958447, -54.452194, 11.108292
560716.9938205458, -54.227596, 10.92792
594113.3984965039, -54.148933, 9.644404
629498.8990221887, -53.826694, 8.195585
666991.9663030129, -53.777206, 7.590396
706718.1273927492, -53.576553, 6.436224
748810.385759003, -53.382927, 6.40342
793409.6665797492, -53.164818, 4.607155
840665.2885618333, -52.768929, 3.457606
890735.463861044, -52.456451, 2.217428
943787.8277775391, -52.001549, -0.663498
1000000, -51.346169, -3.542053
