Frequency [Hz], Amplitude [dB], Phase [deg]
340.92850697468145, -12.386998, -148.47821
361.23426997094305, -13.456403, -150.655518
382.7494478516315, -14.533188, -152.693344
405.54607358408276, -15.607101, -154.503311
429.7004704320844, -16.661947, -156.211029
455.29350748669475, -17.729401, -157.744934
482.41087041653736, -18.775534, -159.199829
511.14334834401654, -19.849411, -160.468277
541.5871378079476, -20.872292, -161.624496
573.8441648302393, -21.918173, -162.867081
608.0224261649427, -22.966656, -163.926178
644.236350872137, -23.987862, -164.817261
682.6071834272393, -25.044699, -165.871368
723.2633896483534, -26.089993, -166.694534
766.3410868007462, -27.106478, -167.557587
811.9844993184009, -28.197102, -168.231918
860.3464416684509, -29.173805, -169.120865
911.5888299750818, -30.272226, -169.742798
965.8832241158708, -31.286173, -170.409225
1023.4114021054538, -32.306641, -171.030396
1084.3659686896108, -33.326981, -171.759445
1148.9510001873098, -34.457111, -172.208405
1217.382727739662, -35.481262, -173.018234
1289.8902612533093, -36.5271, -173.29567
1366.7163564620073, -37.556557, -173.324829
1448.1182276745344, -38.469376, -174.643234
1534.3684089300132, -39.583393, -175.329285
1625.755666443795, -40.760139, -176.232101
1722.5859653987875, -41.767773, -176.972153
1825.1834943190443, -42.922421, -175.852448
1933.891750455232, -43.910023, -176.04985
2049.074689815848, -44.977757, -175.803421
2171.117945694505, -45.901787, -176.722855
2300.430119772919, -46.959934, -175.945969
2437.444150122222, -48.126488, -178.251343
2582.6187606826775, -49.441833, -177.995026
2736.4399970746717, -49.4114, -178.629868
2899.4228538828784, -51.091942, -179.499588
3072.112998861759, -52.905888, -179.484024
3255.08859983506, -53.657742, 177.539642
3448.96226040576, -55.038589, 176.009506
3654.383070957258, -56.666756, 173.076981
3872.0387818125573, -57.272888, 170.739502
4102.658105827195, -58.123241, 168.075623
4347.013158125026, -59.08794, 165.51326
4605.922041145108, -59.785809, 162.670853
4880.2515836544335, -60.768089, 159.805283
5170.920242896761, -60.019463, 157.492142
5478.901179593945, -65.255135, 157.503418
5805.225516094902, -63.668755, 142.940933
6150.985788580504, -62.79641, 149.053848
6517.339604882427, -65.152451, 130.089218
6905.513520162331, -66.110069, 120.856499
7316.8071434272, -66.235283, 107.953285
7752.597488629464, -70.811264, 99.448166
8214.34358491943, -67.692123, 92.158676
8703.591361485165, -67.272705, 72.205246
9221.978823334332, -67.497444, 61.934864
9771.241535346502, -70.337036, 54.680927
10353.218432956615, -67.969986, 44.14304
10969.857978923841, -68.850983, 40.453674
11623.224686798541, -70.682892, 42.617748
12315.506032928262, -89.31337, 89.23835
13049.019780144015, -77.152565, 106.940575
13826.221737646563, -67.901245, 105.524734
14649.71398307288, -66.660217, 100.450516
15522.25357427048, -62.800198, 95.078041
16446.761779946628, -62.286446, 86.235329
17426.333860096507, -61.471565, 82.207176
18464.249428955463, -60.753693, 75.058907
19563.98343517065, -60.138317, 71.256287
20729.2177959537, -59.471745, 66.884285
21963.85372416547, -59.317863, 61.604172
23272.024789604122, -59.263466, 56.570766
24658.110758226037, -58.782536, 54.32658
26126.752255633266, -58.428879, 48.807697
27682.866303920666, -58.408272, 47.330532
29331.662783900483, -58.159542, 43.975075
31078.66187782014, -58.014511, 40.769325
32929.71255097148, -58.013996, 37.146988
34891.012134067736, -57.707359, 36.070248
36969.12707195032, -57.539516, 33.255825
39171.014908092606, -57.531876, 30.404663
41504.047578504724, -57.305344, 27.847555
43976.036093027215, -57.296761, 26.75754
46595.25668664687, -57.141449, 24.140566
49370.478528390035, -57.05526, 23.26988
52310.993080562585, -56.693817, 20.750866
55426.645206631074, -56.792294, 18.626701
58727.86613189489, -56.649815, 17.420525
62225.708367302315, -56.523228, 15.52778
65931.88271333542, -56.379204, 14.1231
