Frequency,Amplitude,Phase
240.9403560239527, 0.597323, 49.623417
255.29080682395167, 0.577365, 45.699635
270.4959730463137, 0.558415, 42.087589
286.606761694825, 0.529588, 38.827904
303.67711180354604, 0.495314, 35.927555
321.76417502507354, 0.467648, 33.288067
340.92850697468145, 0.430653, 30.867392
361.23426997094305, 0.398183, 28.717497
382.7494478516315, 0.368527, 26.708704
405.54607358408276, 0.336468, 24.906984
429.7004704320844, 0.312458, 23.221891
455.29350748669475, 0.279339, 21.702229
482.41087041653736, 0.256228, 20.288254
511.14334834401654, 0.23367, 19.007248
541.5871378079476, 0.207748, 17.775227
573.8441648302393, 0.191624, 16.670979
608.0224261649427, 0.168845, 15.645614
644.236350872137, 0.15007, 14.645988
682.6071834272393, 0.136716, 13.756626
723.2633896483534, 0.123237, 12.928455
766.3410868007462, 0.110768, 12.146282
811.9844993184009, 0.099731, 11.412358
860.3464416684509, 0.084771, 10.726525
911.5888299750818, 0.078577, 10.073402
965.8832241158708, 0.067814, 9.469958
1023.4114021054538, 0.060586, 8.887074
1084.3659686896108, 0.052139, 8.348778
1148.9510001873098, 0.044393, 7.853488
1217.382727739662, 0.041787, 7.367794
1289.8902612533093, 0.03445, 6.923267
1366.7163564620073, 0.031336, 6.490386
1448.1182276745344, 0.028085, 6.100486
1534.3684089300132, 0.02191, 5.714956
1625.755666443795, 0.018854, 5.354336
1722.5859653987875, 0.016168, 5.026555
1825.1834943190443, 0.013476, 4.701042
1933.891750455232, 0.010876, 4.388888
2049.074689815848, 0.00919, 4.094275
2171.117945694505, 0.005757, 3.818062
2300.430119772919, 0.005119, 3.551411
2437.444150122222, 0.003426, 3.303247
2582.6187606826775, 0.003119, 3.058948
2736.4399970746717, 0.000798, 2.831568
2899.4228538828784, -0.001033, 2.608763
3072.112998861759, -0.00008, 2.399042
3255.08859983506, -0.003171, 2.196794
3448.96226040576, -0.005541, 1.988845
3654.383070957258, -0.006367, 1.805779
3872.0387818125573, -0.006204, 1.625981
4102.658105827195, -0.006723, 1.45313
4347.013158125026, -0.007517, 1.27995
4605.922041145108, -0.008212, 1.111753
4880.2515836544335, -0.009152, 0.948679
5170.920242896761, -0.010195, 0.786291
5478.901179593945, -0.009931, 0.61702
5805.225516094902, -0.011789, 0.474647
6150.985788580504, -0.013959, 0.324516
6517.339604882427, -0.013736, 0.170167
6905.513520162331, -0.014829, 0.020156
7316.8071434272, -0.015842, -0.128298
7752.597488629464, -0.017313, -0.290864
8214.34358491943, -0.01983, -0.436053
8703.591361485165, -0.019748, -0.577609
9221.978823334332, -0.021167, -0.730472
9771.241535346502, -0.022157, -0.875289
10353.218432956615, -0.024385, -1.035511
10969.857978923841, -0.025966, -1.19277
11623.224686798541, -0.026784, -1.342969
12315.506032928262, -0.03014, -1.512559
13049.019780144015, -0.032191, -1.675674
13826.221737646563, -0.034441, -1.846992
14649.71398307288, -0.036718, -2.018901
15522.25357427048, -0.03884, -2.194536
16446.761779946628, -0.041864, -2.373614
17426.333860096507, -0.044292, -2.561826
18464.249428955463, -0.04696, -2.756558
19563.98343517065, -0.049581, -2.958941
20729.2177959537, -0.052327, -3.165451
21963.85372416547, -0.054852, -3.383102
23272.024789604122, -0.057622, -3.604687
24658.110758226037, -0.059879, -3.842418
26126.752255633266, -0.06328, -4.083392
27682.866303920666, -0.065963, -4.342727
29331.662783900483, -0.067902, -4.614681
31078.66187782014, -0.070903, -4.900743
32929.71255097148, -0.073196, -5.198525
34891.012134067736, -0.076556, -5.514647
36969.12707195032, -0.07963, -5.845358
39171.014908092606, -0.082417, -6.195012
41504.047578504724, -0.084715, -6.563812
43976.036093027215, -0.087324, -6.953993
46595.25668664687, -0.090175, -7.36599
49370.478528390035, -0.093641, -7.804775
52310.993080562585, -0.097765, -8.263518
55426.645206631074, -0.098053, -8.74992
58727.86613189489, -0.103471, -9.271955
62225.708367302315, -0.106822, -9.824278
65931.88271333542, -0.110353, -10.401941
69858.79746785249, -0.113811, -11.016159
74019.59996915652, -0.117732, -11.669255
78428.22061337682, -0.121799, -12.357882
83099.41949353387, -0.125818, -13.086424
88048.83581643464, -0.131111, -13.857492
93293.04026284696, -0.136272, -14.684661
98849.59046625586, -0.142866, -15.543815
104737.08979594508, -0.149849, -16.466843
110975.2496412072, -0.157906, -17.438602
117584.95540521582, -0.167874, -18.476225
124588.33642950082, -0.174166, -19.579468
132008.84008314196, -0.185671, -20.726231
139871.31026472387, -0.196533, -21.954304
148202.070579886, -0.211615, -23.26613
157029.01247293776, -0.226688, -24.654005
166381.6886076131, -0.241446, -26.122353
