Frequency [Hz], Amplitude [dB], Phase [deg]
419870.70844439144, -54.451614, 12.507302
444878.28311275854, -54.421471, 11.608507
471375.3134116729, -55.024071, 13.065482
499450.511585514, -54.530354, 10.781502
529197.8735958447, -54.569954, 10.196147
560716.9938205458, -54.524311, 10.289161
594113.3984965039, -54.233166, 11.015552
629498.8990221887, -54.058399, 10.794728
666991.9663030129, -54.06538, 9.452032
706718.1273927492, -53.605957, 10.111604
748810.385759003, -53.559956, 8.767463
793409.6665797492, -53.219597, 7.49504
840665.2885618333, -52.768013, 6.128783
890735.463861044, -52.360233, 4.343181
943787.8277775391, -51.91328, 2.310776
1000000, -51.261688, -0.612326
