Frequency,Amplitude,Phase
10, -24.156048, -93.601196
10.59560179277616, -23.663816, -93.747353
11.226677735108137, -23.225132, -93.830284
11.895340673703195, -22.67005, -94.143295
12.603829296797274, -22.169403, -94.361725
13.354515629298987, -21.609383, -94.919754
14.149912974345758, -21.100742, -95.259491
14.992684327860456, -20.601151, -95.476112
15.885651294280526, -20.139006, -95.503281
16.831803533309568, -19.58119, -96.195938
17.834308769319094, -19.088184, -96.365967
18.896523396912098, -18.58107, -96.716911
20.022003718155844, -18.059256, -97.269188
21.2145178491063, -17.551685, -97.652763
22.47805833548725, -17.035654, -98.183022
23.81685551976158, -16.520266, -98.729004
25.23539170434766, -16.006418, -99.26387
26.738416158399467, -15.492933, -99.833122
28.330961018393243, -14.977532, -100.436371
30.01835813575589, -14.459875, -101.100998
31.80625692794119, -13.935584, -101.826035
33.700643292719285, -13.408802, -102.587852
35.707859649004625, -12.875763, -103.320335
37.83462617131929, -12.355689, -104.190063
40.08806328898464, -11.833383, -105.153381
42.47571552536898, -11.288103, -106.067429
45.005576757004974, -10.738778, -107.106926
47.68611697714469, -10.199442, -108.251938
50.526310653356795, -9.674635, -109.469315
53.53566677410724, -9.118612, -110.804131
56.72426068491978, -8.578974, -112.184807
60.10276782070382, -8.018602, -113.740128
63.68249944718586, -7.443641, -115.457916
67.47544053110693, -6.869805, -117.38485
71.49428986597577, -6.300099, -119.351921
75.75250258771912, -5.724694, -121.646233
80.26433522257175, -5.150261, -124.067886
85.04489341802677, -4.573496, -126.836807
90.11018251665018, -4.009719, -129.825729
95.47716114208056, -3.445364, -133.156662
101.1637979766207, -2.884523, -136.829926
107.18913192051286, -2.337158, -140.934555
113.57333583431051, -1.818472, -145.451523
120.33778407775905, -1.337875, -150.41716
127.50512407130128, -0.934065, -155.788422
135.09935211980277, -0.586786, -161.631317
143.14589375234786, -0.328908, -167.913696
151.6716888470924, -0.178989, -174.34761
160.70528182616385, -0.142632, 179.091904
170.27691722259013, -0.203201, 172.444244
180.41864093920717, -0.390781, 166.040619
191.16440753857037, -0.671005, 159.951569
202.55019392306664, -1.030235, 154.203598
214.6141197858406, -1.465306, 148.866364
227.39657523579274, -1.949603, 144.026611
240.9403560239527, -2.473887, 139.636597
255.29080682395167, -3.013326, 135.674362
270.4959730463137, -3.580363, 132.031189
286.606761694825, -4.158655, 128.784195
303.67711180354604, -4.73413, 125.876968
321.76417502507354, -5.311212, 123.190132
340.92850697468145, -5.891418, 120.820244
361.23426997094305, -6.454135, 118.641121
382.7494478516315, -7.033316, 116.59507
405.54607358408276, -7.591269, 114.817558
429.7004704320844, -8.158899, 113.071175
455.29350748669475, -8.708937, 111.624084
482.41087041653736, -9.266559, 110.151009
511.14334834401654, -9.804343, 108.847824
541.5871378079476, -10.357054, 107.659492
573.8441648302393, -10.889166, 106.431717
608.0224261649427, -11.419558, 105.452141
644.236350872137, -11.959494, 104.509056
682.6071834272393, -12.491535, 103.529839
723.2633896483534, -13.013269, 102.629456
766.3410868007462, -13.527335, 101.834694
811.9844993184009, -14.051229, 101.067665
860.3464416684509, -14.563387, 100.362114
911.5888299750818, -15.086137, 99.691818
965.8832241158708, -15.599885, 99.013588
1023.4114021054538, -16.120741, 98.424545
1084.3659686896108, -16.634399, 97.911789
1148.9510001873098, -17.131149, 97.375397
1217.382727739662, -17.655144, 96.795982
1289.8902612533093, -18.159649, 96.380882
1366.7163564620073, -18.66848, 95.831642
1448.1182276745344, -19.163038, 95.424973
1534.3684089300132, -19.67872, 95.013664
1625.755666443795, -20.186565, 94.589531
1722.5859653987875, -20.6819, 94.204697
1825.1834943190443, -21.191795, 93.850388
1933.891750455232, -21.687376, 93.443344
2049.074689815848, -22.196806, 93.016891
2171.117945694505, -22.696732, 92.7742
2300.430119772919, -23.201563, 92.373383
2437.444150122222, -23.691658, 91.984871
2582.6187606826775, -24.187027, 91.668777
2736.4399970746717, -24.685787, 91.32737
2899.4228538828784, -25.191763, 91.071404
3072.112998861759, -25.673759, 90.709763
3255.08859983506, -26.17491, 90.410408
3448.96226040576, -26.668213, 90.110382
3654.383070957258, -27.160303, 89.772331
3872.0387818125573, -27.667353, 89.445992
4102.658105827195, -28.137478, 89.064934
4347.013158125026, -28.641737, 88.695297
4605.922041145108, -29.137878, 88.369942
4880.2515836544335, -29.609432, 88.083008
5170.920242896761, -30.093269, 87.679626
5478.901179593945, -30.585396, 87.259125
5805.225516094902, -31.066673, 86.968842
6150.985788580504, -31.539665, 86.541229
6517.339604882427, -32.004665, 86.055481
