Frequency [Hz], Amplitude [dB], Phase [deg]
10, -48.394161, 177.547882
10.59560179277616, -47.381386, 177.485977
11.226677735108137, -46.539299, 177.182846
11.895340673703195, -45.449959, 176.460358
12.603829296797274, -44.415287, 175.949402
13.354515629298987, -43.238544, 175.416534
14.149912974345758, -42.220631, 174.867508
14.992684327860456, -41.239845, 174.621857
15.885651294280526, -40.382225, 174.505386
16.831803533309568, -39.210392, 173.748535
17.834308769319094, -38.288704, 173.545547
18.896523396912098, -37.240242, 173.12886
20.022003718155844, -36.241867, 172.240402
21.2145178491063, -35.181053, 172.091934
22.47805833548725, -34.142849, 171.508286
23.81685551976158, -33.089706, 170.92392
25.23539170434766, -32.079922, 170.409882
26.738416158399467, -31.042545, 169.798706
28.330961018393243, -30.065502, 169.240982
30.01835813575589, -29.003504, 168.583572
31.80625692794119, -27.998466, 167.913712
33.700643292719285, -26.991592, 167.165695
35.707859649004625, -25.895012, 166.354553
37.83462617131929, -24.87785, 165.523285
40.08806328898464, -23.885902, 164.735901
42.47571552536898, -22.799471, 163.661179
45.005576757004974, -21.743567, 162.598328
47.68611697714469, -20.703293, 161.496887
50.526310653356795, -19.672062, 160.326736
53.53566677410724, -18.623392, 159.069153
56.72426068491978, -17.580593, 157.632126
60.10276782070382, -16.523369, 156.132996
63.68249944718586, -15.451642, 154.389618
67.47544053110693, -14.367991, 152.556168
71.49428986597577, -13.308422, 150.534241
75.75250258771912, -12.219326, 148.317337
80.26433522257175, -11.159968, 145.900406
85.04489341802677, -10.05061, 143.214569
90.11018251665018, -8.985355, 140.266022
95.47716114208056, -7.908711, 137.006332
101.1637979766207, -6.838024, 133.352661
107.18913192051286, -5.7791, 129.299026
113.57333583431051, -4.751132, 124.811317
120.33778407775905, -3.766631, 119.898689
127.50512407130128, -2.840433, 114.56311
135.09935211980277, -1.983029, 108.773239
143.14589375234786, -1.195657, 102.610519
151.6716888470924, -0.518344, 96.239349
160.70528182616385, -0.057754, 89.770607
170.27691722259013, 0.199663, 83.101051
180.41864093920717, 0.345784, 76.693039
